"Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type"
"201301BS70227,2,1,1,1,5,3,0,0,0,0,0,1,1"
"201301BS70228,1,1,3,1,9,2,1,1,0,0,2,0,-1"
"201301BS70229,1,1,3,1,7,3,5,1,0,0,2,0,-1"
"201301BS70229,1,2,3,2,6,3,5,1,0,0,2,0,-1"
"201301BS70230,1,1,1,1,7,3,0,0,0,0,0,5,1"
"201301BS70231,1,1,1,1,7,3,0,0,0,0,0,9,1"
"201301BS70232,2,1,1,1,-1,3,0,0,0,0,0,1,1"
"201301BS70233,1,1,2,1,11,3,0,0,0,3,0,11,1"
"201301BS70234,1,1,1,1,6,2,0,0,0,0,0,1,1"
"201301BS70235,1,1,2,2,-1,3,0,0,2,0,0,9,-1"
"201301BS70236,2,1,1,1,5,3,0,0,0,0,0,5,1"
"201301BS70237,2,1,1,1,7,3,0,0,0,0,0,5,1"
"201301BS70238,2,1,1,1,6,2,0,0,0,0,0,1,1"
"201301BS70239,2,1,1,2,8,3,0,0,0,0,0,2,1"
"201301BS70240,1,1,2,1,10,3,0,0,0,3,0,11,1"
"201301BS70241,1,1,1,1,4,3,0,0,0,0,0,3,1"
"201301BS70243,1,1,1,1,7,3,0,0,0,0,0,8,1"
"201301BS70244,1,1,3,2,10,3,6,9,0,0,2,0,-1"
"201301BS70245,1,1,1,1,6,3,0,0,0,0,0,2,1"
"201301BS70246,2,1,1,1,7,3,0,0,0,0,0,5,1"
"201301BS70247,2,1,1,1,6,2,0,0,0,0,0,9,1"
"201301BS70249,1,1,1,1,5,3,0,0,0,0,0,5,3"
"201301BS70250,1,1,3,2,6,3,1,1,0,0,2,0,1"
"201301BS70251,2,1,1,1,9,3,0,0,0,0,0,3,1"
"201301BS70252,3,1,1,1,-1,2,0,0,0,0,0,1,1"
"201301BS70253,1,1,3,1,8,3,1,1,0,0,2,0,1"
"201301BS70254,1,1,3,2,9,3,5,1,0,0,2,0,1"
"201301BS70255,1,1,3,1,8,3,1,1,0,0,2,0,1"
"201301BS70256,2,1,1,1,4,3,0,0,0,0,0,1,1"
"201301BS70257,1,1,3,2,1,3,1,1,0,0,2,0,1"
"201301BS70258,2,1,1,1,7,2,0,0,0,0,0,1,1"
"201301BS70259,2,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70261,2,1,1,1,7,3,0,0,0,0,0,1,1"
"201301BS70262,2,1,1,1,-1,3,0,0,0,0,0,1,-1"
"201301BS70263,2,1,1,1,6,3,0,0,0,0,0,5,1"
"201301BS70265,1,1,3,2,8,3,1,1,0,0,2,0,-1"
"201301BS70266,1,1,3,2,7,3,1,1,0,0,2,0,1"
"201301BS70268,1,1,1,2,6,3,0,0,0,0,0,9,1"
"201301BS70269,1,1,3,2,10,3,5,3,0,0,2,0,1"
"201301BS70270,1,1,3,1,-1,2,1,3,0,0,2,0,-1"
"201301BS70271,1,1,1,1,10,3,0,0,0,0,0,9,1"
"201301BS70273,1,1,1,2,9,3,0,0,0,0,0,1,1"
"201301BS70274,2,1,1,1,6,3,0,0,0,0,0,3,1"
"201301BS70275,4,1,1,2,11,3,0,0,0,0,0,9,1"
"201301BS70277,2,1,1,1,7,3,0,0,0,0,0,1,1"
"201301BS70278,1,1,1,1,8,3,0,0,0,0,0,9,1"
"201301BS70279,1,1,1,1,7,3,0,0,0,0,0,19,1"
"201301BS70280,1,1,3,1,7,3,1,1,0,0,2,0,-1"
"201301BS70281,2,1,1,1,5,3,0,0,0,0,0,1,1"
"201301BS70282,1,1,3,2,8,3,5,2,0,0,2,0,1"
"201301BS70283,1,1,3,2,6,3,6,9,0,0,2,0,1"
"201301BS70284,1,1,3,2,3,3,4,1,0,0,2,0,1"
"201301BS70286,1,1,3,2,6,3,4,1,0,0,2,0,-1"
"201301BS70287,1,1,1,1,10,3,0,0,0,0,0,8,1"
"201301BS70289,2,1,1,1,7,3,0,0,0,0,0,1,-1"
"201301BS70290,2,1,1,1,6,3,0,0,0,0,0,9,1"
"201301BS70293,2,1,1,1,3,3,0,0,0,0,0,1,1"
"201301BS70294,1,1,3,1,11,2,5,3,0,0,2,0,1"
"201301BS70295,2,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70296,1,1,1,1,6,3,0,0,0,0,0,9,1"
"201301BS70296,1,2,2,2,5,3,0,0,1,0,0,9,1"
"201301BS70297,1,1,1,1,6,2,0,0,0,0,0,1,3"
"201301BS70298,1,1,1,2,6,3,0,0,0,0,0,1,1"
"201301BS70299,2,1,1,1,4,3,0,0,0,0,0,3,-1"
"201301BS70301,1,1,1,1,9,3,0,0,0,0,0,9,1"
"201301BS70301,1,2,2,2,10,3,0,0,1,0,0,9,1"
"201301BS70302,1,1,1,2,7,2,0,0,0,0,0,1,1"
"201301BS70303,1,1,1,1,7,3,0,0,0,0,0,1,1"
"201301BS70304,2,1,1,1,7,3,0,0,0,0,0,2,1"
"201301BS70305,2,1,1,1,6,2,0,0,0,0,0,1,1"
"201301BS70306,1,1,1,1,7,3,0,0,0,0,0,19,-1"
"201301BS70308,1,1,1,1,8,3,0,0,0,0,0,1,1"
"201301BS70309,2,1,1,1,6,3,0,0,0,0,0,3,1"
"201301BS70310,1,1,1,1,7,3,0,0,0,0,0,1,1"
"201301BS70311,2,1,1,2,6,3,0,0,0,0,0,1,1"
"201301BS70312,1,1,1,2,6,3,0,0,0,0,0,1,1"
"201301BS70313,1,1,3,1,3,3,6,9,0,0,2,0,-1"
"201301BS70314,1,1,1,1,6,3,0,0,0,0,0,9,1"
"201301BS70315,1,1,1,1,7,3,0,0,0,0,0,5,1"
"201301BS70316,1,1,3,1,7,3,9,9,0,0,2,0,1"
"201301BS70317,1,1,3,1,8,2,9,6,0,0,2,0,1"
"201301BS70318,2,1,1,1,6,3,0,0,0,0,0,3,-1"
"201301BS70319,1,1,1,1,7,3,0,0,0,0,0,3,1"
"201301BS70319,1,2,2,2,6,3,0,0,0,0,0,3,1"
"201301BS70320,1,1,3,1,7,3,4,1,0,0,2,0,-1"
"201301BS70321,3,1,1,1,-1,3,0,0,0,0,0,1,1"
"201301BS70322,1,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70323,2,1,1,1,6,3,0,0,0,0,0,5,1"
"201301BS70324,1,1,1,1,6,2,0,0,0,0,0,3,1"
"201301BS70325,2,1,1,2,8,3,0,0,0,0,0,3,1"
"201301BS70326,1,1,2,2,1,2,0,0,0,4,0,11,1"
"201301BS70327,2,1,1,1,7,3,0,0,0,0,0,9,1"
"201301BS70328,1,1,2,2,6,3,0,0,2,0,0,8,1"
"201301BS70329,1,1,3,2,7,3,1,2,0,0,2,0,1"
"201301BS70331,1,1,3,1,11,3,5,4,0,0,2,0,1"
"201301BS70332,1,1,3,2,9,3,5,2,0,0,2,0,1"
"201301BS70333,2,1,1,2,4,3,0,0,0,0,0,1,-1"
"201301BS70333,2,2,2,1,6,3,0,0,0,0,0,1,1"
"201301BS70334,2,1,1,1,7,3,0,0,0,0,0,4,1"
"201301BS70335,2,1,1,1,5,3,0,0,0,0,0,3,1"
"201301BS70336,2,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70337,2,1,1,2,8,3,0,0,0,0,0,1,-1"
"201301BS70338,1,1,1,2,9,3,0,0,0,0,0,1,1"
"201301BS70339,1,1,3,2,5,3,1,3,0,0,2,0,1"
"201301BS70340,2,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70341,2,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70342,1,1,3,2,6,3,1,3,0,0,2,0,1"
"201301BS70344,2,1,1,1,-1,3,0,0,0,0,0,1,1"
"201301BS70345,2,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70346,1,1,1,1,-1,3,0,0,0,0,0,9,3"
"201301BS70346,2,2,1,1,8,3,0,0,0,0,0,9,1"
"201301BS70347,2,1,1,1,7,2,0,0,0,0,0,1,1"
"201301BS70348,1,1,1,1,6,3,0,0,0,0,0,5,1"
"201301BS70348,1,2,3,2,8,3,1,1,0,0,2,0,-1"
"201301BS70349,1,1,1,1,7,3,0,0,0,0,0,1,1"
"201301BS70350,2,1,1,1,7,3,0,0,0,0,0,1,-1"
"201301BS70351,1,1,2,1,1,3,0,0,0,4,0,11,-1"
"201301BS70352,2,1,1,2,5,3,0,0,0,0,0,1,-1"
"201301BS70353,1,1,2,2,9,3,0,0,0,4,0,11,1"
"201301BS70354,1,1,1,1,6,3,0,0,0,0,0,9,1"
"201301BS70354,1,2,2,2,6,3,0,0,1,0,0,9,1"
"201301BS70356,2,1,1,1,7,3,0,0,0,0,0,5,1"
"201301BS70357,1,1,1,1,4,3,0,0,0,0,0,3,1"
"201301BS70358,1,1,1,1,8,3,0,0,0,0,0,1,1"
"201301BS70359,2,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70360,2,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70361,1,1,3,2,6,2,1,3,0,0,2,0,-1"
"201301BS70362,1,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70363,2,1,1,1,7,3,0,0,0,0,0,1,1"
"201301BS70364,1,1,1,1,8,3,0,0,0,0,0,5,1"
"201301BS70364,1,2,3,1,9,3,5,1,0,0,2,0,-1"
"201301BS70366,1,1,1,1,7,3,0,0,0,0,0,1,1"
"201301BS70367,1,1,1,1,6,3,0,0,0,0,0,3,1"
"201301BS70367,2,2,1,2,7,3,0,0,0,0,0,5,1"
"201301BS70370,2,1,1,1,8,2,0,0,0,0,0,3,1"
"201301BS70371,1,1,3,2,9,3,9,9,0,0,2,0,1"
"201301BS70372,1,1,3,1,2,3,5,1,0,0,2,0,1"
"201301BS70373,1,1,2,2,7,2,0,0,2,0,0,8,-1"
"201301BS70374,2,1,1,1,5,3,0,0,0,0,0,1,1"
"201301BS70375,1,1,1,1,6,3,0,0,0,0,0,3,1"
"201301BS70376,1,1,1,1,4,3,0,0,0,0,0,1,1"
"201301BS70377,1,1,2,2,7,3,0,0,1,0,0,9,1"
"201301BS70378,1,1,1,1,6,3,0,0,0,0,0,5,1"
"201301BS70378,2,2,1,1,-1,3,0,0,0,0,0,1,1"
"201301BS70381,2,1,1,1,9,3,0,0,0,0,0,9,1"
"201301BS70381,2,2,2,2,7,3,0,0,1,0,0,9,1"
"201301BS70383,2,1,1,1,5,3,0,0,0,0,0,1,1"
"201301BS70384,1,1,3,1,5,3,5,3,0,0,2,0,-1"
"201301BS70386,2,1,1,2,9,3,0,0,0,0,0,9,-1"
"201301BS70387,1,1,1,1,7,3,0,0,0,0,0,8,1"
"201301BS70388,1,1,3,1,2,3,5,1,0,0,2,0,-1"
"201301BS70390,2,1,1,2,5,3,0,0,0,0,0,1,1"
