AADFYear,CP,Road,RCat,S Ref Latitude,S Ref Longitude,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf
2014,16948,A361,PA,51.04814729,-2.9999741419999997,12,115,6420,48,1137,245
2014,16951,A39,PA,51.07486037,-4.042613796,112,138,14590,224,3302,248
2014,16953,A363,PA,51.29397333,-2.192127781,21,103,10705,61,1593,623
2014,16954,A363,PA,51.35751755,-2.2537172030000003,10,82,6654,33,1542,192
2014,16955,A3102,PA,51.37497447,-2.138677462,282,256,12393,204,2178,294
2014,16956,A366,PA,51.305391,-2.316978536,6,43,3295,9,871,69
2014,16957,A367,PA,51.34577033,-2.402686214,53,258,15268,305,2334,449
2014,16958,A368,PA,51.3275503,-2.86251629,21,38,3894,74,992,149
2014,16959,A3029,PA,51.43595272,-2.619990395,166,458,23675,69,5524,1137
2014,16960,A369,PA,51.4828891,-2.764636916,42,94,9058,22,1407,243
2014,16961,A370,PA,51.44537866,-2.6143624290000003,313,184,12423,91,2446,562
2014,16964,A371,PA,51.18629348,-2.547953572,18,198,9473,43,1329,199
2014,16965,A372,PA,51.03548637,-2.7857713339999997,12,43,3056,26,537,75
2014,16970,A377,PA,50.83012023,-3.7750202589999997,3,65,4244,64,1129,212
2014,16971,A377,PA,50.7264217,-3.541421328,95,181,9791,176,1910,456
2014,16972,A377,PA,50.70848401,-3.537716925,139,292,18409,125,3467,639
2014,16975,A379,PA,50.38442092,-3.559857433,9,86,3593,22,600,60
2014,16977,A380,PA,50.59555056,-3.569638913,0,394,22526,90,4458,1058
2014,16981,A381,PA,50.51622656,-3.622158845,12,171,10704,85,2030,220
2014,16982,A381,PA,50.42756224,-3.690649637,38,110,8485,82,1911,438
2014,16984,A385,PA,50.44535365,-3.704100784,40,109,10647,157,2412,618
2014,16986,A385,PA,50.42841109,-3.592263566,32,238,11148,456,2249,494
2014,16988,A386,PA,50.73686907,-4.03311258,0,22,1665,6,486,318
2014,16989,A386,PA,50.46584919,-4.100726687,215,227,15284,262,1885,354
2014,16990,A387,PA,50.3744018,-4.462433078,4,17,2452,48,476,44
2014,16992,A388,PA,50.6319063,-4.353332267,17,149,5612,6,733,35
2014,16993,A388,PA,50.59628105,-4.33585497,1,47,4976,80,1503,516
2014,16994,A386,PA,50.37596704,-4.143236595,280,654,28472,1475,2833,373
2014,16995,A389,PA,50.50741084,-4.892496696,6,83,4742,48,746,63
2014,16996,A389,PA,50.47108728,-4.7164802219999995,14,133,12348,161,1740,299
2014,16998,A390,PA,50.36260255,-4.716676208,22,95,9317,100,1851,336
2014,17001,A39,PA,50.17284966,-5.129157022,19,140,14601,158,2934,725
2014,17003,A395,PA,50.65511607,-4.6185792469999996,6,9,2835,24,554,266
2014,17004,A396,PA,50.97485107,-3.4969308339999996,4,35,1687,19,425,73
2014,17007,A400,PA,51.5491549,-0.14092437,3845,1166,13670,1230,3267,838
2014,17008,A400,PA,51.53257375,-0.13871635300000001,1160,1045,10446,1061,2460,501
2014,17009,A401,PA,51.52368187,-0.11125730800000001,2397,916,4166,1433,1725,409
2014,17010,A404,TA,51.55743946,-0.7704036329999999,4,263,39934,143,5873,2037
2014,17013,A404,PA,51.56941791,-0.321911347,135,487,36706,314,3029,862
2014,17014,A404,PA,51.55259691,-0.296566882,154,191,13210,1504,1974,390
2014,17015,A404,PA,51.52726799,-0.213898024,880,939,13171,1137,2667,812
2014,17016,A414,PA,51.7465465,-0.258397021,32,345,38454,174,5973,3151
2014,17017,A405,PA,51.69154344,-0.395512746,39,125,14751,134,2159,426
2014,17018,A406,PA,51.50647124,-0.290722532,320,850,22868,53,4722,2232
2014,17019,A406,PA,51.56868462,-0.241134149,81,1369,78887,476,20387,7886
2014,17020,A406,PA,51.59085596,-0.191193955,2,1223,62148,291,12835,4174
2014,17021,A406,PA,51.61589931,-0.097320041,81,1000,55228,792,12510,4885
2014,17022,A406,PA,51.59550786,0.019788316,0,1075,128276,492,29001,7052
2014,17023,A407,PA,51.55037997,-0.21991632100000003,109,334,7798,478,1590,429
2014,17024,A408,PA,51.49080576,-0.45804119,78,32,8807,316,1231,214
2014,17025,A410,PA,51.62334574,-0.28900681100000003,0,74,22828,226,3255,848
2014,17026,A411,PA,51.64538766,-0.26707478,22,114,12644,63,1899,249
2014,17027,A411,PA,51.66642184,-0.41087501200000004,106,218,21492,294,2845,413
2014,17030,A413,PA,51.94518653,-0.881751504,11,105,7785,88,1542,282
2014,17031,A413,PA,51.80041224,-0.7894753529999999,71,157,21253,182,2501,443
2014,17033,A1060,PA,51.78329597,0.315818535,12,51,4039,45,1144,217
2014,17036,A4147,PA,51.75025304,-0.36041743600000004,49,184,22033,235,2379,240
2014,17037,A4095,PA,51.78759917,-1.500654489,56,48,5849,55,1128,134
2014,17038,A415,PA,51.66776101,-1.278428683,172,146,9415,132,1537,347
2014,17039,A416,PA,51.70790451,-0.611945702,34,202,23155,228,4260,465
2014,17040,A417,PA,52.05729139,-2.506920731,0,41,4910,50,1329,614
2014,17042,A417,TA,51.85329428,-2.15239937,0,358,37940,190,5873,3226
2014,17044,A417,PA,51.65479344,-1.5672355530000002,5,12,4824,24,1190,545
2014,17046,A418,PA,51.90552429,-0.6922238940000001,20,146,16033,163,2647,833
2014,17051,A420,PA,51.76178253,-1.2044833129999999,1105,94,12624,1022,1598,203
2014,17052,A420,PA,51.70278336,-1.349472936,0,85,14080,92,2378,1372
2014,17055,A3102,PA,51.51460219,-1.971129984,16,158,9266,108,1638,396
2014,17056,A420,PA,51.46497488,-2.289293519,1,187,5404,31,1414,420
2014,17057,A420,PA,51.46247167,-2.519588361,174,110,8449,239,1870,147
2014,17060,A422,PA,52.21118953,-1.913607966,5,36,2958,9,659,134
2014,17061,A422,PA,52.13774436,-1.606918251,20,60,4016,34,806,152
2014,17062,A422,PA,52.00273707,-0.981708585,29,44,7462,90,1360,176
2014,17064,A423,PA,52.36193669,-1.443398641,31,128,9968,50,1502,697
2014,17066,A4165,PA,51.80441484,-1.276249744,519,175,15345,518,1665,444
2014,17067,A4074,PA,51.67482003,-1.191545473,16,140,11585,106,1721,528
2014,17070,A425,PA,52.28423663,-1.591697821,102,105,13543,217,1284,159
2014,17071,A425,PA,52.2523895,-1.415472534,5,105,8172,88,1080,577
2014,17073,A426,PA,52.45268903,-1.199748322,49,124,13755,96,2454,1020
2014,17074,A426,PA,52.34395974,-1.283754286,87,80,16370,138,1309,465
2014,17075,A428,PA,52.40326764,-1.457577605,151,180,22384,292,2780,425
2014,17076,A4303,PA,52.45323725,-1.228139353,31,88,12816,40,1853,2554
2014,17078,A427,PA,52.48683031,-0.7064659040000001,83,64,7272,67,1144,239
2014,17079,A428,PA,52.38109519,-1.340318161,12,106,6794,89,1469,308
2014,17082,A428,PA,52.1494369,-0.393705727,34,169,19237,116,3092,868
2014,17083,A429,PA,52.36144242,-1.5608832430000001,184,69,5283,162,564,91
2014,17085,A429,PA,51.96030323,-1.712308786,6,72,7783,49,1131,489
2014,17086,A429,PA,51.82417256,-1.8541342580000002,2,114,5154,52,1199,456
2014,17087,A429,PA,51.6989273,-2.000183891,2,92,4583,32,847,351
2014,17089,A431,PA,51.43037663,-2.4760709380000003,54,211,11023,95,2108,189
2014,17091,A432,PA,51.47263269,-2.558577565,138,230,9737,338,1815,175
2014,17092,A433,PA,51.63788291,-2.161197444,49,68,8106,49,919,184
2014,17094,A435,PA,52.26511334,-1.891524292,20,112,10824,76,1659,838
2014,17096,A435,PA,51.91675815,-2.069741339,118,181,14712,184,1690,353
2014,17097,A436,PA,51.92903788,-1.710545231,1,35,5875,46,1121,225
2014,17098,A436,PA,51.84598847,-2.086905947,6,88,8164,23,1824,902
2014,17099,A437,PA,51.49049871,-0.434860555,47,85,12410,735,1263,282
2014,17100,A438,PA,51.9966381,-2.126975273,193,268,15111,125,2852,783
2014,17101,A438,PA,52.05990496,-2.6081753919999997,7,37,6266,66,1253,320
2014,17107,A442,PA,52.41761179,-2.290317173,10,117,6690,62,1021,333
2014,17108,A443,PA,52.26839114,-2.294498773,2,35,5653,36,1220,535
2014,17109,A444,PA,52.71383487,-1.557355465,7,155,7315,17,1349,750
2014,17112,A445,PA,52.36357469,-1.428692522,17,54,7652,45,757,211
2014,17113,A446,PA,52.49855906,-1.713304399,73,156,18727,66,3036,1701
2014,17117,A449,PA,52.77768599,-2.112652457,44,80,12432,150,2275,489
2014,17119,A449,PA,52.57973929,-2.1332168940000003,60,138,24535,556,3693,804
2014,17120,A449,PA,52.50506407,-2.178219314,35,62,11968,24,2067,308
2014,17121,A449,PA,52.39681172,-2.236567934,39,90,10489,90,2020,532
2014,17122,A449,PA,52.36202029,-2.236381871,37,181,17251,53,2340,1032
2014,17123,A449,PA,52.22989599,-2.2195733619999998,1,164,15455,36,2878,868
2014,17125,A40,TA,51.92570313,-2.576983804,1,150,20796,98,3313,3496
2014,17126,A451,PA,52.36940734,-2.263225731,158,219,15681,186,2343,734
2014,17127,A452,PA,52.57526245,-1.8833843430000001,16,64,13059,97,1681,334
2014,17128,A452,PA,52.52121855,-1.80394257,155,161,23939,437,4278,508
2014,17131,A452,PA,52.33396035,-1.5684931290000002,63,109,19563,193,2074,425
2014,17132,A453,PA,52.52583066,-1.896780486,87,197,22252,817,3626,580
2014,17133,A453,PA,52.57606595,-1.80960085,14,80,10526,51,1283,174
2014,17138,A454,PA,52.60205197,-1.883313373,16,28,6679,80,1126,281
2014,17139,A456,PA,52.46330548,-2.001427973,69,316,31420,443,4365,533
2014,17141,A456,PA,52.36231199,-2.379606249,13,110,8738,37,1319,289
2014,17142,A457,PA,52.50205217,-2.001429461,80,181,20621,239,4965,1315
2014,17144,A458,PA,52.71043609,-2.758246662,136,118,16392,418,2268,186
2014,17146,A458,PA,52.45807804,-2.1559540669999997,43,71,9392,199,1609,92
2014,17148,A459,PA,52.45574444,-2.0470473069999997,49,169,18167,183,3417,1010
2014,17149,A460,PA,52.70387249,-1.997604236,34,113,13286,123,3016,803
2014,17155,A461,PA,52.46283462,-2.161990723,52,34,8011,82,818,67
2014,17156,A462,PA,52.62852116,-2.045667388,24,84,6869,34,1693,623
2014,17158,A465,PA,52.06085728,-2.703581545,132,82,12368,235,1930,328
2014,17159,A466,PA,51.97514329,-2.739506902,4,53,2068,25,432,114
2014,17161,A483,TA,52.80243163,-3.069416992,6,70,8029,52,1761,988
2014,17162,A5268,PA,53.18862556,-2.89491835,102,139,22056,303,2251,295
2014,17164,A491,PA,52.44488375,-2.139135253,50,119,16447,65,2852,600
2014,17166,A495,PA,52.90991591,-2.838603822,7,104,3756,62,1104,404
2014,17168,A501,PA,51.52131502,-0.087282754,2287,1099,9114,1737,2316,183
2014,17169,A501,PA,51.52655097,-0.13319547699999998,1262,1830,29815,2377,5256,2013
2014,17170,A502,PA,51.54020703,-0.143740532,490,336,5235,691,1609,313
2014,17171,A503,PA,51.57878065,-0.081984319,516,525,12754,693,3055,1267
2014,17172,A503,PA,51.55867237,-0.117454004,938,699,11778,1147,2821,823
2014,17174,A504,PA,51.58525078,-0.081711851,143,172,9272,561,1992,204
2014,17175,A504,PA,51.59323853,-0.18243694600000002,88,172,10984,209,1471,150
2014,17176,A504,PA,51.58207864,-0.234843572,44,70,13848,583,1824,250
2014,17177,A505,PA,52.08886154,0.114980495,0,55,14322,80,2387,1288
2014,17181,A577,PA,53.5373678,-2.6965975369999997,0,44,14595,33,2642,936
2014,17184,A509,PA,52.32101368,-0.7079316459999999,15,128,19783,65,2924,1430
2014,17185,A510,PA,52.31915117,-0.666538547,38,127,11879,61,2394,584
