Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
201401BS70843,2,8,0,18,0,8,0,0,0,0,1,1,1,1,37,7,2499,2,6,6,3
201401BS70844,1,8,0,17,0,8,0,4,3,4,1,1,1,1,27,6,1797,8,4,-1,1
201401BS70844,2,9,0,2,0,8,0,0,0,0,3,1,6,2,56,9,1299,1,13,4,1
201401BS70845,1,9,0,18,0,8,0,0,0,0,4,1,6,1,24,5,1242,1,4,4,1
201401BS70845,2,9,0,9,0,8,0,0,0,0,3,1,6,1,47,8,-1,-1,-1,4,1
201401BS70846,1,3,0,18,0,8,0,0,0,0,1,1,1,1,18,4,-1,-1,-1,3,1
201401BS70846,2,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1
201401BS70847,1,9,0,2,0,8,0,0,0,0,3,1,6,3,-1,-1,1598,1,9,-1,-1
201401BS70847,2,1,0,18,0,2,0,0,0,0,1,1,6,1,36,7,-1,-1,-1,-1,-1
201401BS70848,1,11,0,7,0,8,0,0,0,0,0,1,1,1,54,8,4760,2,2,3,1
201401BS70849,1,2,0,18,0,1,0,0,0,0,1,1,1,1,22,5,108,1,3,6,1
201401BS70849,2,9,0,11,0,8,0,0,0,0,4,1,6,3,-1,-1,1596,1,7,-1,-1
201401BS70855,1,9,0,9,0,8,0,0,0,0,4,1,6,1,61,9,-1,-1,-1,5,1
201401BS70855,2,1,0,15,0,8,0,0,0,0,1,1,6,1,23,5,-1,-1,-1,3,1
201401BS70857,1,19,0,18,0,8,0,0,0,0,1,1,1,1,48,8,1995,2,1,8,1
201401BS70857,2,1,0,18,0,8,0,0,0,0,1,1,6,2,40,7,-1,-1,-1,4,1
201401BS70858,1,9,0,3,0,0,0,0,0,0,4,1,6,2,20,4,1360,1,9,2,1
201401BS70858,2,1,0,15,0,0,0,8,0,0,1,1,6,1,-1,-1,-1,-1,-1,1,1
201401BS70859,1,20,0,18,0,8,0,0,0,0,1,1,6,1,51,8,6370,2,7,6,1
201401BS70860,1,3,0,10,0,8,0,0,0,0,2,1,6,1,-1,-1,125,1,2,4,1
201401BS70860,2,11,0,9,0,8,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1
201401BS70861,1,9,0,7,0,8,0,0,0,0,4,1,6,2,35,6,-1,-1,-1,1,1
201401BS70861,2,1,0,18,0,8,0,0,0,0,1,1,6,1,33,6,-1,-1,-1,-1,1
201401BS70862,1,11,0,18,0,8,0,0,0,0,4,1,1,1,27,6,-1,-1,-1,-1,1
201401BS70863,1,3,0,18,0,8,0,0,0,0,1,1,6,1,30,6,124,1,12,2,1
201401BS70863,2,8,0,12,0,8,0,0,0,0,3,1,1,1,44,7,2499,2,3,7,1
201401BS70864,1,3,0,18,0,8,0,0,0,0,1,1,6,1,49,8,125,1,6,4,1
201401BS70864,2,8,0,9,0,8,0,0,0,0,1,1,1,1,37,7,1995,2,3,4,1
201401BS70865,1,9,0,18,0,1,0,0,0,0,1,1,6,1,27,6,1781,1,12,2,1
201401BS70866,1,3,0,18,0,2,0,0,0,0,1,1,6,1,25,5,125,1,-1,1,1
201401BS70867,1,5,0,18,0,8,0,0,0,0,1,1,6,1,36,7,750,1,2,4,1
201401BS70867,2,2,0,18,0,8,0,0,0,0,1,1,6,1,21,5,49,1,10,6,1
201401BS70868,1,9,0,6,0,1,0,0,0,0,1,1,6,1,50,8,1598,1,2,2,1
201401BS70868,2,90,0,18,0,8,0,0,0,0,3,1,6,1,52,8,2686,2,8,8,1
201401BS70869,1,9,0,2,0,0,0,0,0,0,3,1,6,2,46,8,2231,2,7,8,1
201401BS70869,2,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1
201401BS70870,1,9,0,9,0,8,0,0,0,0,1,1,6,1,34,6,1797,8,4,3,1
201401BS70870,2,9,0,17,0,8,0,0,0,0,1,1,6,1,48,8,1275,1,16,3,1
201401BS70871,1,5,0,18,0,0,0,0,0,0,1,1,6,1,39,7,599,1,4,4,1
201401BS70871,2,9,0,6,0,0,0,0,0,0,1,1,6,1,32,6,1797,8,3,4,1
201401BS70872,1,5,0,7,0,8,0,0,0,0,2,1,6,1,61,9,1170,1,9,1,1
201401BS70872,2,3,0,18,0,8,0,0,0,0,1,1,6,1,58,9,124,1,12,4,1
201401BS70875,1,3,0,17,0,0,1,10,0,0,3,1,6,1,25,5,124,1,-1,3,1
201401BS70876,1,9,0,2,0,1,0,0,0,0,3,1,6,1,63,9,1390,1,11,2,1
201401BS70876,2,1,0,18,0,1,0,0,0,0,1,1,6,2,40,7,-1,-1,-1,1,1
201401BS70877,1,9,0,18,0,8,0,4,0,0,1,1,6,1,46,8,1598,2,4,5,1
201401BS70877,2,19,0,2,0,8,0,0,0,0,3,1,6,3,-1,-1,1753,2,1,-1,-1
201401BS70878,1,4,0,18,0,1,0,0,0,0,1,1,6,1,32,6,125,1,7,2,1
201401BS70878,2,3,0,4,0,1,0,0,0,0,2,1,6,1,31,6,109,1,1,4,1
201401BS70881,1,1,0,18,0,2,0,0,0,0,1,1,6,1,31,6,-1,-1,-1,4,1
201401BS70881,2,9,0,18,0,2,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1,-1
201401BS70882,1,11,0,18,0,8,0,0,0,0,1,1,1,1,46,8,4500,2,-1,1,1
201401BS70882,2,9,0,9,0,8,0,0,0,0,4,1,6,1,-1,-1,1560,2,1,-1,-1
201401BS70883,1,4,0,18,0,2,0,0,0,0,3,1,6,1,36,7,125,1,1,-1,-1
201401BS70884,1,9,0,6,0,8,0,0,0,0,3,1,6,2,30,6,1461,2,-1,2,1
201401BS70884,2,5,0,18,0,8,0,0,0,0,1,1,6,1,43,7,-1,-1,-1,7,1
201401BS70885,1,19,0,9,0,8,0,0,0,0,1,1,1,1,47,8,1686,2,11,7,1
201401BS70886,1,11,0,18,0,8,0,0,0,0,1,1,1,1,32,6,-1,-1,-1,2,1
201401BS70888,1,19,0,18,0,0,0,0,0,0,1,1,1,1,-1,-1,2463,2,10,-1,-1
201401BS70889,1,4,0,18,0,8,0,0,0,0,1,1,6,1,29,6,-1,-1,-1,2,1
201401BS70889,2,9,0,9,0,8,0,0,0,0,1,1,6,1,53,8,1596,1,8,-1,1
201401BS70890,1,19,0,1,0,8,0,0,0,0,2,1,1,1,-1,-1,1995,2,1,-1,-1
