Acc_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
201301BS70105,1,8,0,6,0,2,0,0,0,0,3,1,1,1,10,-1,-1,-1,3,1
201301BS70105,2,2,0,18,0,1,0,0,0,0,1,1,6,2,6,49,1,12,1,1
201301BS70106,1,9,0,14,0,1,0,0,0,0,4,1,1,1,9,-1,-1,-1,2,1
201301BS70107,1,9,0,9,0,8,0,0,0,0,3,1,6,1,7,1796,1,5,2,1
201301BS70109,1,11,0,4,0,1,0,0,0,0,0,1,1,3,-1,9200,2,10,-1,-1
201301BS70110,1,1,0,18,0,8,0,0,0,0,3,1,2,2,5,-1,-1,-1,2,1
201301BS70110,2,9,0,5,0,8,0,0,0,0,1,1,2,1,-1,-1,-1,-1,-1,-1
201301BS70111,1,9,0,6,0,0,0,0,0,0,3,1,6,1,5,998,1,1,7,1
201301BS70111,2,3,0,18,0,0,0,0,0,0,4,1,6,1,4,100,1,16,1,1
201301BS70112,1,3,0,18,0,8,0,0,0,0,4,1,6,2,6,125,1,1,5,1
201301BS70112,2,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70114,1,3,0,9,0,8,0,0,0,0,1,1,1,1,7,124,1,1,9,1
201301BS70114,2,9,0,18,0,8,0,0,0,0,3,1,6,1,7,1798,1,9,3,1
201301BS70115,1,19,0,1,0,1,0,0,0,0,2,1,6,1,-1,1753,2,10,3,1
201301BS70116,1,21,0,18,0,1,0,0,0,0,1,1,6,1,7,10837,2,2,3,1
201301BS70117,1,9,0,4,0,0,0,0,0,0,1,1,6,1,9,1997,2,4,9,1
201301BS70118,1,9,0,14,0,0,0,0,0,0,4,1,6,1,5,2148,2,5,1,1
201301BS70119,1,9,0,9,0,8,0,0,0,0,4,1,1,1,6,1762,1,13,2,1
201301BS70119,2,8,0,18,0,8,0,0,0,0,3,1,1,1,7,2499,2,6,4,1
201301BS70120,1,1,0,18,0,8,0,0,0,0,4,1,2,2,8,-1,-1,-1,3,1
201301BS70120,2,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,1997,2,4,-1,-1
201301BS70121,1,9,0,9,0,2,0,0,0,0,4,1,6,1,7,1769,1,9,3,1
201301BS70122,1,8,0,18,0,8,0,0,0,0,4,1,1,1,8,2402,2,11,7,1
201301BS70122,2,9,0,7,0,8,0,0,0,0,3,1,6,2,9,2793,1,15,7,1
201301BS70123,1,8,0,4,0,0,0,0,0,0,2,1,6,1,8,2402,2,7,10,1
201301BS70123,2,20,0,18,0,0,0,0,0,0,1,1,6,1,8,-1,-1,-1,4,1
201301BS70124,1,9,0,9,0,8,0,0,0,0,0,1,6,2,6,999,1,6,2,1
201301BS70124,2,3,0,4,0,8,0,0,0,0,0,1,1,1,5,125,1,3,1,1
201301BS70125,1,3,0,4,0,8,0,0,0,0,4,1,2,1,7,125,1,7,2,1
201301BS70125,2,8,0,11,0,8,0,0,0,0,0,1,1,1,7,2499,2,4,7,1
201301BS70126,1,9,0,3,0,1,0,0,0,0,4,1,6,1,6,-1,-1,-1,10,1
201301BS70126,2,5,0,18,0,1,0,0,0,0,1,1,6,1,7,750,1,3,-1,-1
201301BS70127,1,1,0,18,0,8,0,0,0,0,4,1,6,1,6,-1,-1,-1,6,1
201301BS70127,2,9,0,9,0,8,0,0,0,0,1,1,6,3,-1,1997,2,4,-1,-1
201301BS70128,1,1,0,18,0,0,0,0,0,0,3,1,6,2,6,-1,-1,-1,7,1
201301BS70129,1,9,0,9,0,8,0,0,0,0,3,1,6,2,6,1598,1,1,4,1
201301BS70129,2,1,0,18,0,8,0,0,0,0,1,1,6,1,7,-1,-1,-1,-1,-1
201301BS70130,1,9,0,5,0,2,0,0,0,0,3,1,6,1,8,1896,2,6,2,1
201301BS70130,2,3,0,18,0,2,0,0,0,0,4,1,2,1,5,125,1,7,3,1
201301BS70131,1,11,0,18,0,0,0,0,0,0,0,1,6,1,7,9000,2,4,3,1
201301BS70132,1,9,0,9,0,8,0,0,0,0,3,1,6,3,-1,1910,2,5,-1,-1
201301BS70133,1,9,0,9,0,8,0,0,0,0,4,1,6,2,7,1984,1,2,5,1
201301BS70133,2,2,0,18,0,8,0,0,0,0,1,1,1,2,7,49,1,10,3,1
201301BS70134,1,8,0,9,0,8,0,0,0,0,4,1,1,1,11,2664,2,15,6,2
201301BS70134,2,3,0,18,0,8,0,0,0,0,1,1,6,1,5,124,1,1,7,1
