"""date"",""geography"",""geography code"",""Rural Urban"",""Variable: All usual residents; measures: Value"",""Variable: Males; measures: Value"",""Variable: Females; measures: Value"",""Variable: Lives in a household; measures: Value"",""Variable: Lives in a communal establishment; measures: Value"",""Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value"",""Variable: Area (Hectares); measures: Value"",""Variable: Density (number of persons per hectare); measures: Value"""
"""2011"",""County Durham 019A"",""E01020604"",""Total"",1420,712,708,1420,0,15,933.53,1.5"
"""2011"",""County Durham 019B"",""E01020607"",""Total"",1614,817,797,1545,69,10,656.57,2.5"
"""2011"",""County Durham 019C"",""E01020619"",""Total"",1540,735,805,1540,0,11,108.50,14.2"
"""2011"",""County Durham 019D"",""E01020620"",""Total"",1603,796,807,1575,28,17,227.25,7.1"
"""2011"",""County Durham 019E"",""E01020621"",""Total"",1856,936,920,1856,0,11,75.41,24.6"
"""2011"",""County Durham 001A"",""E01020634"",""Total"",1563,756,807,1517,46,16,649.75,2.4"
"""2011"",""County Durham 001B"",""E01020635"",""Total"",1379,689,690,1379,0,19,169.63,8.1"
"""2011"",""County Durham 001C"",""E01020636"",""Total"",1698,851,847,1698,0,11,92.72,18.3"
"""2011"",""County Durham 001D"",""E01020654"",""Total"",1746,869,877,1717,29,13,98.84,17.7"
"""2011"",""County Durham 001E"",""E01020676"",""Total"",1514,753,761,1514,0,12,547.17,2.8"
"""2011"",""County Durham 003A"",""E01020627"",""Total"",1538,766,772,1538,0,22,32.22,47.7"
"""2011"",""County Durham 003B"",""E01020628"",""Total"",1648,820,828,1637,11,26,65.92,25.0"
"""2011"",""County Durham 003C"",""E01020629"",""Total"",1507,716,791,1500,7,17,47.07,32.0"
"""2011"",""County Durham 003D"",""E01020655"",""Total"",2008,988,1020,1925,83,28,845.27,2.4"
"""2011"",""County Durham 003E"",""E01020656"",""Total"",1458,695,763,1392,66,8,385.46,3.8"
"""2011"",""County Durham 003F"",""E01020657"",""Total"",1544,772,772,1494,50,21,501.62,3.1"
"""2011"",""County Durham 004A"",""E01020661"",""Total"",1880,911,969,1763,117,13,90.58,20.8"
"""2011"",""County Durham 004B"",""E01020662"",""Total"",1792,903,889,1792,0,18,47.68,37.6"
"""2011"",""County Durham 004C"",""E01020663"",""Total"",1847,921,926,1842,5,23,539.13,3.4"
"""2011"",""County Durham 004D"",""E01020674"",""Total"",1586,771,815,1586,0,5,143.05,11.1"
"""2011"",""County Durham 004E"",""E01020678"",""Total"",1369,663,706,1369,0,10,77.87,17.6"
"""2011"",""County Durham 006A"",""E01020626"",""Total"",1541,750,791,1539,2,3,49.07,31.4"
"""2011"",""County Durham 006B"",""E01020638"",""Total"",1562,769,793,1562,0,13,50.46,31.0"
"""2011"",""County Durham 006C"",""E01020639"",""Total"",1500,724,776,1500,0,10,328.48,4.6"
"""2011"",""County Durham 006D"",""E01020653"",""Total"",1549,736,813,1540,9,13,468.25,3.3"
"""2011"",""County Durham 006E"",""E01020677"",""Total"",1534,741,793,1522,12,9,298.40,5.1"
"""2011"",""County Durham 008A"",""E01020647"",""Total"",2142,1036,1106,2142,0,9,50.85,42.1"
"""2011"",""County Durham 008B"",""E01020648"",""Total"",1879,897,982,1879,0,7,143.75,13.1"
"""2011"",""County Durham 008C"",""E01020649"",""Total"",1547,765,782,1547,0,2,209.85,7.4"
"""2011"",""County Durham 008D"",""E01020673"",""Total"",1626,816,810,1577,49,5,41.27,39.4"
"""2011"",""County Durham 008E"",""E01020675"",""Total"",1700,829,871,1625,75,4,47.02,36.2"
"""2011"",""County Durham 009A"",""E01020624"",""Total"",1562,767,795,1542,20,4,76.10,20.5"
"""2011"",""County Durham 009B"",""E01020625"",""Total"",1609,779,830,1574,35,6,295.08,5.5"
"""2011"",""County Durham 009C"",""E01020670"",""Total"",1559,717,842,1559,0,13,137.76,11.3"
"""2011"",""County Durham 009D"",""E01020671"",""Total"",1346,676,670,1346,0,2,15.79,85.2"
"""2011"",""County Durham 009E"",""E01020672"",""Total"",1671,857,814,1671,0,13,466.19,3.6"
"""2011"",""County Durham 010A"",""E01020632"",""Total"",1818,921,897,1766,52,14,58.74,30.9"
"""2011"",""County Durham 010B"",""E01020640"",""Total"",2354,1212,1142,2354,0,25,59.52,39.5"
"""2011"",""County Durham 010C"",""E01020641"",""Total"",2196,1101,1095,2112,84,16,78.96,27.8"
"""2011"",""County Durham 010D"",""E01020642"",""Total"",1395,666,729,1378,17,17,69.12,20.2"
"""2011"",""County Durham 010E"",""E01020643"",""Total"",2157,1065,1092,2157,0,13,53.58,40.3"
"""2011"",""County Durham 010F"",""E01020667"",""Total"",1537,749,788,1537,0,7,297.01,5.2"
"""2011"",""County Durham 012A"",""E01020650"",""Total"",2183,1058,1125,2183,0,16,75.68,28.8"
"""2011"",""County Durham 012B"",""E01020651"",""Total"",1736,820,916,1711,25,8,116.95,14.8"
"""2011"",""County Durham 012C"",""E01020652"",""Total"",2006,974,1032,1953,53,13,160.51,12.5"
"""2011"",""County Durham 012D"",""E01020668"",""Total"",1493,726,767,1487,6,5,58.20,25.7"
"""2011"",""County Durham 012E"",""E01020669"",""Total"",1474,694,780,1436,38,10,500.47,2.9"
"""2011"",""County Durham 014A"",""E01020630"",""Total"",1388,643,745,1388,0,10,79.01,17.6"
"""2011"",""County Durham 014B"",""E01020631"",""Total"",1649,779,870,1649,0,2,45.56,36.2"
"""2011"",""County Durham 014C"",""E01020637"",""Total"",1657,819,838,1657,0,30,6334.85,0.3"
"""2011"",""County Durham 014D"",""E01020644"",""Total"",2457,1234,1223,2447,10,22,367.83,6.7"
"""2011"",""County Durham 014E"",""E01020645"",""Total"",1489,720,769,1466,23,10,160.20,9.3"
"""2011"",""County Durham 020A"",""E01020633"",""Total"",1564,774,790,1564,0,9,1430.74,1.1"
"""2011"",""County Durham 020B"",""E01020664"",""Total"",1410,692,718,1410,0,31,4609.34,0.3"
"""2011"",""County Durham 020C"",""E01020665"",""Total"",1356,647,709,1355,1,22,109.48,12.4"
"""2011"",""County Durham 020D"",""E01020666"",""Total"",1459,726,733,1456,3,19,72.02,20.3"
"""2011"",""County Durham 024A"",""E01020646"",""Total"",1586,782,804,1586,0,12,4020.54,0.4"
"""2011"",""County Durham 024B"",""E01020658"",""Total"",1811,822,989,1734,77,14,80.61,22.5"
"""2011"",""County Durham 024C"",""E01020659"",""Total"",1576,768,808,1574,2,15,38.02,41.5"
"""2011"",""County Durham 024D"",""E01020660"",""Total"",1597,782,815,1564,33,19,1189.75,1.3"
"""2011"",""County Durham 022A"",""E01020709"",""Total"",2464,1531,933,1408,1056,37,1018.42,2.4"
"""2011"",""County Durham 022B"",""E01020717"",""Total"",1614,777,837,1614,0,32,35.35,45.7"
"""2011"",""County Durham 022C"",""E01020718"",""Total"",1323,631,692,1323,0,29,28.34,46.7"
"""2011"",""County Durham 022D"",""E01020719"",""Total"",1236,596,640,1236,0,31,32.07,38.5"
"""2011"",""County Durham 022E"",""E01020721"",""Total"",1182,601,581,1182,0,26,31.05,38.1"
"""2011"",""County Durham 023A"",""E01020708"",""Total"",1160,560,600,1160,0,23,65.18,17.8"
"""2011"",""County Durham 023B"",""E01020710"",""Total"",1581,782,799,1579,2,30,106.11,14.9"
"""2011"",""County Durham 023C"",""E01020711"",""Total"",1747,806,941,1689,58,11,54.10,32.3"
"""2011"",""County Durham 023D"",""E01020720"",""Total"",1414,629,785,1414,0,12,28.54,49.5"
"""2011"",""County Durham 026A"",""E01020679"",""Total"",1600,792,808,1561,39,11,137.30,11.7"
"""2011"",""County Durham 026B"",""E01020680"",""Total"",1635,824,811,1607,28,32,1382.59,1.2"
"""2011"",""County Durham 026C"",""E01020681"",""Total"",1467,709,758,1467,0,10,59.23,24.8"
"""2011"",""County Durham 026D"",""E01020714"",""Total"",1551,756,795,1551,0,22,371.64,4.2"
"""2011"",""County Durham 026E"",""E01020716"",""Total"",1709,793,916,1709,0,13,77.28,22.1"
"""2011"",""County Durham 027A"",""E01020725"",""Total"",1534,746,788,1534,0,23,825.43,1.9"
"""2011"",""County Durham 027B"",""E01020726"",""Total"",1229,593,636,1193,36,13,314.94,3.9"
"""2011"",""County Durham 027C"",""E01020727"",""Total"",1087,506,581,1087,0,1,526.00,2.1"
"""2011"",""County Durham 027D"",""E01020729"",""Total"",2118,1017,1101,2118,0,24,1264.14,1.7"
"""2011"",""County Durham 027E"",""E01020730"",""Total"",1685,810,875,1685,0,7,110.02,15.3"
"""2011"",""County Durham 027F"",""E01020731"",""Total"",1455,744,711,1455,0,12,393.10,3.7"
