"Accident_Index,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,1st_Road_Class,Road_Type,Speed_limit,Junction_Detail,2nd_Road_Class,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Hour,Two_Hour_Groupings,Time_of_Day,Was_Daylight,Was_Bad_Weather,Was_Road_Dry,log_Number_of_Casualties,log_Number_of_Vehicles,LSOA,population_per_hectare,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf,Road,RCat"
"201301BS70075,-0.209671,51.516897,Slight,1,1,2013-02-06,Wednesday,B,Single carriageway,30.0,Crossroads,C,Darkness - lights lit,Fine no high winds,Dry,Urban,18,6pm-8pm,Rush hour,No,No,Yes,0.0,0.0,E01002831,179.2,2.6,3898.2,63274.8,763.4,15253.6,3185.8,A40,PA"
"201301BS70076,-0.177094,51.480875,Slight,1,1,2013-02-14,Thursday,A,Single carriageway,30.0,T or staggered junction,Unclassified,Daylight,Fine no high winds,Dry,Urban,7,6am-8am,Morning,Yes,No,Yes,0.0,0.0,E01002842,684.7,3466.0,2111.6,24948.0,632.2,4485.8,1487.0,A3220,PA"
"201301BS70077,-0.207029,51.496084,Slight,1,1,2013-02-03,Sunday,A,Single carriageway,30.0,T or staggered junction,Unclassified,Darkness - lights lit,Fine no high winds,Dry,Urban,18,6pm-8pm,Rush hour,No,No,Yes,0.0,0.0,E01002814,133.7,2639.6,1095.4,12246.2,1348.2,1956.0,321.2,A315,PA"
"201301BS70078,-0.158547,51.501538,Slight,2,1,2013-02-08,Friday,Unclassified,Single carriageway,30.0,T or staggered junction,Unclassified,Daylight,Fine no high winds,Dry,Urban,14,2pm-4pm,Office hours,Yes,No,Yes,0.0,0.6931471805599453,E01002818,105.9,1675.0,4147.8,39079.8,3756.4,6832.4,1615.0,A4,PA"
"201301BS70079,-0.195265,51.48754,Slight,1,1,2013-02-12,Tuesday,A,Single carriageway,30.0,T or staggered junction,Unclassified,Daylight,Fine no high winds,Dry,Urban,15,2pm-4pm,Rush hour,Yes,No,Yes,0.0,0.0,E01002894,137.9,1786.0,925.6,8192.8,600.8,2012.0,237.0,A3218,PA"
"201301BS70080,-0.16128599999999998,51.501491,Slight,1,1,2013-02-25,Monday,A,Single carriageway,30.0,Crossroads,A,Daylight,Fine no high winds,Dry,Urban,11,10am-12pm,Office hours,Yes,No,Yes,0.0,0.0,E01004689,6.1,1176.8,1913.0,17788.2,1424.0,3614.4,721.0,A4,PA"
"201301BS70081,-0.153336,51.48787700000001,Slight,2,2,2013-02-25,Monday,A,Single carriageway,30.0,Not at junction or within 20 meters,Not at junction or within 20 meters,Daylight,Fine no high winds,Dry,Urban,11,10am-12pm,Office hours,Yes,No,Yes,0.6931471805599453,0.6931471805599453,E01002901,38.7,725.0,826.0,7583.8,851.2,1875.2,353.0,A3216,PA"
"201301BS70082,-0.195431,51.494288,Slight,2,1,2013-02-24,Sunday,A,Single carriageway,30.0,Crossroads,A,Darkness - lights unlit,Fine no high winds,Dry,Urban,18,6pm-8pm,Rush hour,No,No,Yes,0.0,0.6931471805599453,E01002851,272.3,575.4,848.4,12193.6,694.2,3750.6,765.0,A3220,PA"
"201301BS70083,-0.181675,51.481575,Slight,2,1,2013-02-28,Thursday,A,Single carriageway,30.0,Crossroads,A,Darkness - lights lit,Fine no high winds,Dry,Urban,21,8pm-10pm,Evening,No,No,Yes,0.0,0.6931471805599453,E01002913,173.6,1330.2,943.8,12979.4,1081.2,2550.8,636.2,A3217,PA"
"201301BS70084,-0.180432,51.491088,Slight,2,1,2013-02-18,Monday,A,Single carriageway,30.0,Crossroads,C,Daylight,Fine no high winds,Dry,Urban,9,8am-10am,Morning,Yes,No,Yes,0.0,0.6931471805599453,E01002837,211.4,15.4,23.4,425.4,2.8,192.6,33.4,U,MCU"
